experiment_name,roc_auc,f1_score,PA%20_roc_auc,PA%20_f1_score,PA%50_roc_auc,PA%50_f1_score,PA%80_roc_auc,PA%80_f1_score,disc_ratio_1,disc_ratio_2,t_ratio,disc_cohens_d_normal_vs_anomaly,disc_cohens_d_disturbing_vs_anomaly,recon_cohens_d_normal_vs_anomaly,recon_cohens_d_disturbing_vs_anomaly,inference_mode,scoring_mode
050_k_4.0,0.8719167749173358,0.5811981914091937,0.9421817064738757,0.5475189986589182,0.914441599830875,0.5318331751841309,0.870396465440008,0.4602407354753104,4.258834746549027,1.6971301648718753,1.5627003400714072,1.8688771602927021,0.713063482497546,0.532897898432758,-0.13850937073666286,all_patches,normalized
050_k_4.0,0.8793378175352964,0.5772536112634851,0.9458069851519266,0.5327410617551462,0.9211813755410421,0.5200096168557253,0.8818694489756529,0.47053508910622727,4.254832168801745,1.6957697985443438,1.5633285117022535,1.8668817281564403,0.7116760569460613,0.5318078983084392,-0.13956798770389445,all_patches,adaptive
050_k_4.0,0.8122763967616649,0.5169179229480737,0.9048110692836674,0.4728135100502993,0.8476202296067061,0.46237387352691983,0.7727420984341218,0.3827443037974684,4.246974226729155,1.691520365567964,1.5619248984176075,1.8657679175395032,0.7096114311528596,0.5315385657778032,-0.14106384042080927,all_patches,default
057_dropout_0.3,0.8505897037211988,0.5364098964730655,0.924753682356708,0.4907048008171604,0.8907974326009039,0.46998156853811585,0.8449525481782849,0.4211313658025773,4.234891630005905,1.535120124641947,1.333933190721616,1.753077533595507,0.5858542617299957,0.32842346117843496,-0.2745621546154693,all_patches,normalized
162_d128_dropout0.3,0.8505897037211988,0.5364098964730655,0.924753682356708,0.4907048008171604,0.8907974326009039,0.46998156853811585,0.8449525481782849,0.4211313658025773,4.234891630005905,1.535120124641947,1.333933190721616,1.753077533595507,0.5858542617299957,0.32842346117843496,-0.2745621546154693,all_patches,normalized
057_dropout_0.3,0.7368105334461764,0.4182041820418204,0.8637223817850933,0.35679828995638235,0.779527741109474,0.33894939702747684,0.65488838315987,0.28651465405584503,4.223494638888889,1.5321543076350985,1.3284178608704602,1.7451515834865454,0.5812768389891869,0.32314768992341053,-0.2802002490858744,all_patches,default
162_d128_dropout0.3,0.7368105334461764,0.4182041820418204,0.8637223817850933,0.35679828995638235,0.779527741109474,0.33894939702747684,0.65488838315987,0.28651465405584503,4.223494638888889,1.5321543076350985,1.3284178608704602,1.7451515834865454,0.5812768389891869,0.32314768992341053,-0.2802002490858744,all_patches,default
057_dropout_0.3,0.8612906678082192,0.5633936180285958,0.9296788339872301,0.5294170323273932,0.9029333840110281,0.5072944598463845,0.8621694857856873,0.4434492073647544,4.219888503796405,1.5285112510252117,1.3245244205889082,1.7414005363272915,0.5777388379490187,0.3181806644776415,-0.2852460298160039,all_patches,adaptive
162_d128_dropout0.3,0.8612906678082192,0.5633936180285958,0.9296788339872301,0.5294170323273932,0.9029333840110281,0.5072944598463845,0.8621694857856873,0.4434492073647544,4.219888503796405,1.5285112510252117,1.3245244205889082,1.7414005363272915,0.5777388379490187,0.3181806644776415,-0.2852460298160039,all_patches,adaptive
118_d128_patch25,0.8041344654251884,0.5198879551820729,0.9018009037658727,0.4068462401795735,0.8435777404329252,0.3804039719751128,0.7410348336772723,0.3077897403419886,4.091921143449707,1.0800718500380508,1.8957017042801512,1.414763075770498,0.10780128403850331,1.0545024664111815,0.4808549231690029,all_patches,default
